order_id,CustomerName,product_name,category_name,quantity,list_price,order_date,order_status,state
1,Johnathan Velazquez,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,1,599.99,1/1/2016,4,CA
1,Johnathan Velazquez,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,2,1799.99,1/1/2016,4,CA
1,Johnathan Velazquez,Surly Straggler - 2016,Cyclocross Bicycles,2,1549,1/1/2016,4,CA
1,Johnathan Velazquez,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,2,599.99,1/1/2016,4,CA
1,Johnathan Velazquez,Trek Fuel EX 8 29 - 2016,Mountain Bikes,1,2899.99,1/1/2016,4,CA
2,Jaqueline Cummings,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,1,599.99,1/1/2016,4,NY
2,Jaqueline Cummings,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,2,599.99,1/1/2016,4,NY
3,Joshua Robertson,Surly Wednesday Frameset - 2016,Mountain Bikes,1,999.99,1/2/2016,4,NY
3,Joshua Robertson,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,1,599.99,1/2/2016,4,NY
4,Nova Hess,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,2,749.99,1/3/2016,4,CA
5,Arla Ellis,Surly Straggler - 2016,Cyclocross Bicycles,2,1549,1/3/2016,4,NY
5,Arla Ellis,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,1,429,1/3/2016,4,NY
5,Arla Ellis,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,1,599.99,1/3/2016,4,NY
6,Sharyn Hopkins,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,1,449,1/4/2016,4,NY
6,Sharyn Hopkins,Electra Townie Original 21D - 2016,Cruisers Bicycles,2,549.99,1/4/2016,4,NY
6,Sharyn Hopkins,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,1,599.99,1/4/2016,4,NY
6,Sharyn Hopkins,Surly Wednesday Frameset - 2016,Mountain Bikes,2,999.99,1/4/2016,4,NY
6,Sharyn Hopkins,Trek Conduit+ - 2016,Electric Bikes,2,2999.99,1/4/2016,4,NY
7,Laureen Paul,Electra Moto 1 - 2016,Cruisers Bicycles,1,529.99,1/4/2016,4,NY
7,Laureen Paul,Surly Wednesday Frameset - 2016,Mountain Bikes,1,999.99,1/4/2016,4,NY
7,Laureen Paul,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,2,429,1/4/2016,4,NY
